Application No.,First Name,Lase Name,Gender,DOB,Acadamic Year,Class,Section,Roll NO,Register No,Student Type,Father's / Guardians Name,Student Email Id,Parent's / Guardians Mob No,Alternate Mobile No,Emergency Contact No,Address,City,State,Country,Postal Code,joining date,password,Scholarship,Chat Option,First Graduate
1016,Aslam,A,Male,20-03-1995,2017 - 2018,First Standard,A,STD20016,2015,Counselling,ampreewth,aslam@gmail.com,8955164979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1017,Kumar,K,Male,20-03-1995,2017 - 2018,First Standard,A,STD20017,2016,Management,Michel,kumar@gmail.com,9365164979,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1018,Mona,M,Female,20-03-1995,2017 - 2018,First Standard,A,STD20018,2017,Counselling,Mary,maona@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1019,Kalai,K,Female,20-03-1995,2017 - 2018,First Standard,A,STD20019,2018,Counselling,Joy,kalai@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1020,Tina,T,Female,20-03-1995,2017 - 2018,First Standard,A,STD20020,2019,Counselling,rose,tina@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1021,Nithi,N,Female,20-03-1995,2017 - 2018,First Standard,A,STD20021,2020,Counselling,happy,nithi@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1022,Bhuvi,B,Female,20-03-1995,2017 - 2018,First Standard,A,STD20022,2021,Counselling,ampreewth,bhuvi@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1023,Reena,R,Female,20-03-1995,2017 - 2018,Second Standard,A,STD22001,2021,Management,Joy,reena@gmail.com,1236698454,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1024,Lokiya,L,Female,20-03-1995,2017 - 2018,Second Standard,A,STD22002,2022,Counselling,rose,lokiya@gmail.com,3123654789,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1025,Thiyagu,T,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22003,2022,Management,happy,thiyagu@gmail.com,9994871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1026,Dinesh,D,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22004,2023,Counselling,ampreewth,dinesh@gmail.com,9694871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1027,Dinakar,D,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22005,2024,Management,Michel,dinakar@gmail.com,9984871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1028,Selva,S,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22006,2025,Counselling,Mary,selva@gmail.com,9904871801,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1029,Raj,R,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22007,2026,Management,Joy,raj@gmail.com,33344234855,4343444232,123654789,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1030,Tharanish,T,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22008,2027,Counselling,rose,tharanish@gmail.com,4556635333,4343444232,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1031,Darshan,D,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22009,2028,Management,happy,darshan@gmail.com,5965164979,4343444232,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1032,sakthi,S,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22010,2029,Counselling,ampreewth,sakthi@gmail.com,9965164979,4343444232,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1035,Nabi,N,Female,20-03-1995,2017 - 2018,Second Standard,A,STD22011,2020,Counselling,Joy,nabi@gmail.com,9565164979,4343444232,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1033,Nandha,N,Male,20-03-1995,2017 - 2018,Second Standard,A,STD22012,2021,Counselling,Joy,nandha@gmail.com,8955164979,4343444232,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
1034,Nabisha,N,Female,20-03-1995,2017 - 2018,Second Standard,A,STD22013,2022,Counselling,Joy,nabisha@gmail.com,9365164979,3.43E+11,1.34E+11,test test,xxxx,Tamil nadu,India,123456,20-03-2000,1234,yes,yes,yes
